,MT9216,MT9612,MT9603,MT9026,MT9638,MT9653,MT5510,T963,T963S,T982,T920,T950X4,T950Z4D,T972,T962,T950D5,T966D5,NVT
读取IIC设备及数据操作,,,,,,,,,,,"i2cget -f -y 4 0x74 0x02
查IIC速率：
uboot下：
1，fdt addr $dtb_mem_addr
2，fdt print
（1）查IIC设备：i2cdetect -l
（2）查设备地址：i2cdetect -y -r 2
（3）查寄存器值：i2cdump -f -y 2 0x20
（4）读寄存器值：i2cget -f -y 2 0x20 0x15
（5）写寄存器值：i2cset -f -y 2 0x20 0x15 0x16",,,,,,,
测USB2.0眼图,,,,,,,,,,,"T920L测试USB眼图用这个命令吧，你试下（要开完机后在输命令！！）：

echo ff500414 40000000 > /sys/kernel/debug/aml_reg/paddr 
echo ff500424 40000000 > /sys/kernel/debug/aml_reg/paddr 
echo ff500434 40000000 > /sys/kernel/debug/aml_reg/paddr 
echo ff500444 40000000 > /sys/kernel/debug/aml_reg/paddr 
echo ff500454 40000000 > /sys/kernel/debug/aml_reg/paddr",,"T950Z4DT.PB791测USB眼图
拆掉 WIFI模块

对USB插入U盘-串口会打印一个 【USB】1-1
A=1  B=2 
因此该端口为：（脚本使用S5）
./usb_comp-S5 4 A A

测试升级用的USB接口需要在 uboot 下输入
idme dev_flags 0

下端口号为：【USB】2-1
./usb_comp-S5 4 B A",,,,,
查网口指令,,,,,,,,,,,ifconfig eth0,,,,,,,
改读写权限,,,settings->system->About->找到Android TV OS build，光标移动到这一项，连续按确定键打开开发者权限> 返回system > developer options > USB debugging关掉，重启即可识别USB,,,,,,,,"mount -o remount,rw /system
#需要先获取root权限后在输入如上指令#",,,,,,,
复制文件到另外路径,,,,,,,,,,,"cp /storage/udisk0/lowmem_manage.sh /system/bin/
#cp /当前路径 /到另外一个路径#",,,,,,,
debug系统开U盘读写,,,settings->system->About->找到Android TV OS build，光标移动到这一项，连续按确定键打开开发者权限> 返回system > developer options > USB debugging关掉，重启即可识别USB,,,,,,,,,,"退出USB调试模式写“0”，进入调试模式改”1“
idme dev_flags 0
setenv otg_device 0;
Saveenv
reboot
",,,"退出USB调试模式，进入调试模式改”1“
setenv otg_device 0;
Saveenv
reboot",,
进shell模式,,,,,,,,,,,,,,,,,,"1、Tizen设置NT72691方法，F2工厂菜单->Control->Sub Option->切换成debug，log可以不用设置，同时，20089999回车98回车，进shell模式
20102011
20089999? ??（上下两串可以放在一行输入）
菜单选择 -》?98
2、NT72690
shift+#，回车"
解决ESD问题AV误触发增加的延时检测,,,,,,,,,,,echo 10 > /sys/module/tvin_avin_detect/parameters/avin_count_times  此处的10是1000ms；,,,,,,,
关闭屏保,,,settings put system  screen_off_timeout 2147483647,,,,：settings put system  screen_off_timeout 2147483647,,,,,,,,,,,
查看占空比,,,,,,,,,,,,,,,,"su
cat /sys/class/aml_bl/bl0/pwm",,
